Tue Jun 17 08:49:10 UTC 2025 Starting regionserver on 4fdf0e11b739
core file size          (blocks, -c) 0
2025-06-17T08:49:17,208 INFO  [main] zookeeper.ZooKeeper: Client environment:java.library.path=/usr/java/packages/lib:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
2025-06-17T08:49:17,208 INFO  [main] zookeeper.ZooKeeper: Client environment:java.io.tmpdir=/tmp
2025-06-17T08:49:17,208 INFO  [main] zookeeper.ZooKeeper: Client environment:java.compiler=<NA>
2025-06-17T08:49:17,208 INFO  [main] zookeeper.ZooKeeper: Client environment:os.name=Linux
2025-06-17T08:49:17,208 INFO  [main] zookeeper.ZooKeeper: Client environment:os.arch=amd64
2025-06-17T08:49:17,209 INFO  [main] zookeeper.ZooKeeper: Client environment:os.version=6.10.14-linuxkit
2025-06-17T08:49:17,209 INFO  [main] zookeeper.ZooKeeper: Client environment:user.name=hbase
2025-06-17T08:49:17,209 INFO  [main] zookeeper.ZooKeeper: Client environment:user.home=/home/hbase
2025-06-17T08:49:17,209 INFO  [main] zookeeper.ZooKeeper: Client environment:user.dir=/
2025-06-17T08:49:17,209 INFO  [main] zookeeper.ZooKeeper: Client environment:os.memory.free=195MB
2025-06-17T08:49:17,209 INFO  [main] zookeeper.ZooKeeper: Client environment:os.memory.max=3492MB
2025-06-17T08:49:17,209 INFO  [main] zookeeper.ZooKeeper: Client environment:os.memory.total=222MB
2025-06-17T08:49:17,211 INFO  [main] zookeeper.ZooKeeper: Initiating client connection, connectString=atlas-zk:2181 sessionTimeout=90000 watcher=org.apache.hadoop.hbase.zookeeper.PendingWatcher@7a6ea47d
2025-06-17T08:49:17,215 INFO  [main] common.X509Util: Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation
2025-06-17T08:49:17,219 INFO  [main] zookeeper.ClientCnxnSocket: jute.maxbuffer value is 4194304 Bytes
2025-06-17T08:49:17,225 INFO  [main] zookeeper.ClientCnxn: zookeeper.request.timeout value is 0. feature enabled=
2025-06-17T08:49:17,260 INFO  [main-SendThread(atlas-zk:2181)] zookeeper.ClientCnxn: Opening socket connection to server atlas-zk/172.21.0.5:2181. Will not attempt to authenticate using SASL (unknown error)
2025-06-17T08:49:17,274 INFO  [main-SendThread(atlas-zk:2181)] zookeeper.ClientCnxn: Socket connection established, initiating session, client: /172.21.0.9:44922, server: atlas-zk/172.21.0.5:2181
2025-06-17T08:49:17,288 INFO  [main-SendThread(atlas-zk:2181)] zookeeper.ClientCnxn: Session establishment complete on server atlas-zk/172.21.0.5:2181, sessionid = 0x100003774c50002, negotiated timeout = 40000
2025-06-17T08:49:17,396 INFO  [main] util.log: Logging initialized @5515ms to org.apache.hbase.thirdparty.org.eclipse.jetty.util.log.Slf4jLog
2025-06-17T08:49:17,509 INFO  [main] http.HttpServer: Added global filter 'safety' (class=org.apache.hadoop.hbase.http.HttpServer$QuotingInputFilter)
2025-06-17T08:49:17,513 INFO  [main] http.HttpServer: Added global filter 'clickjackingprevention' (class=org.apache.hadoop.hbase.http.ClickjackingPreventionFilter)
